	solver_type	prot_per_class	num_unlearned_samples	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	wgd	1	1	0.0037222067515055	0.0001732110977172	0.00012	5.01664	5.01663	32560	23655.0	23655.0	23655	0	0	23754.0	23509	146	245	0.6493	0.6493	0.645	0.6598	0.6598	0.726	16281	11791.0	11791.0	11791	0	0	11867.0	11715	76	152	0.6496	0.6496	0.6459	0.6545	0.6545	0.724
1	wgd	1	5	0.0037803371747334	0.000265630086263	0.00039	5.01357	5.01355	32556	23652.0	23652.0	23652	0	0	21380.0	20159	3493	1221	0.6493	0.6493	0.5752	0.6598	0.6598	0.5932	16281	11791.0	11791.0	11791	0	0	10709.0	10119	1672	590	0.6496	0.6496	0.5756	0.6545	0.6545	0.5907
2	wgd	1	450	0.0036460955937703	0.0002871314684549	0.02133	5.01384	5.01068	32111	23330.0	23330.0	23330	0	0	16709.0	12155	11175	4554	0.6503	0.6503	0.5697	0.6611	0.6608	0.6154	16281	11791.0	11792.0	11791	0	1	8414.0	6150	5641	2264	0.6496	0.6497	0.568	0.6545	0.6543	0.6083
3	wgd	1	3039	0.0033050378163655	0.0003571510314941	0.14293	5.01339	5.03533	29522	22043.0	22043.0	22043	0	0	20551.0	19501	2542	1050	0.6521	0.6521	0.5726	0.6564	0.6525	0.613	16281	11791.0	11726.0	11640	151	86	10806.0	10245	1546	561	0.6496	0.6443	0.5722	0.6545	0.6491	0.6086
4	wgd	1	10385	0.0025410294532775	0.0004743893941243	0.54516	5.01418	5.05663	22176	18043.0	18043.0	18043	0	0	16493.0	15833	2210	660	0.6389	0.6389	0.5261	0.6314	0.627	0.6912	16281	11791.0	12576.0	10672	1119	1904	10314.0	9778	2013	536	0.6496	0.5806	0.5596	0.6545	0.6514	0.654
0	wgd	2	20	0.0043877442677815	0.0003785649935404	0.04216	5.04956	5.04885	32541	23647.0	23873.0	23584	63	289	22954.0	18022	5625	4932	0.6489	0.6507	0.4959	0.6594	0.6603	0.4951	16281	11798.0	11897.0	11758	40	139	11570.0	9052	2746	2518	0.6495	0.6499	0.4952	0.6548	0.6563	0.4966
1	wgd	2	139	0.0044752041498819	0.0003951629002888	0.04194	5.03352	5.03754	32422	23576.0	23611.0	23542	34	69	22814.0	18209	5367	4605	0.6474	0.6466	0.5157	0.6574	0.6585	0.5017	16281	11798.0	11820.0	11779	19	41	11501.0	9147	2651	2354	0.6495	0.6487	0.514	0.6548	0.6564	0.4942
2	wgd	2	1269	0.0033981879552205	0.0003472169240315	0.1357	5.02517	5.08445	31292	22817.0	22431.0	22251	566	180	21452.0	19893	2924	1559	0.6261	0.6233	0.5479	0.6311	0.6376	0.5663	16281	11798.0	11614.0	11531	267	83	10921.0	10006	1792	915	0.6495	0.6451	0.5348	0.6548	0.6509	0.5186
3	wgd	2	8946	0.0020752429962158	0.0004226406415303	0.59494	5.01581	5.26859	23615	19701.0	13777.0	10955	8746	2822	18717.0	18384	1317	333	0.5	0.6385	0.5091	0.4933	0.7236	0.6229	16281	11798.0	8961.0	7286	4512	1675	11289.0	11027	771	262	0.6495	0.6388	0.6362	0.6548	0.6274	0.7073
4	wgd	2	15577	0.0014102896054585	0.0005240043004353	0.8375	5.01658	5.22994	16984	13938.0	9051.0	6482	7456	2569	13938.0	13938	0	0	0.5	0.6542	0.5	0.5416	0.7589	0.6191	16281	11798.0	8960.0	7286	4512	1674	11542.0	11486	312	56	0.6495	0.6387	0.6403	0.6548	0.6177	0.7081
0	wgd	3	40	0.0054507732391357	0.0004032333691914	0.03728	5.0273	5.02771	32521	23645.0	23861.0	23610	35	251	21684.0	20984	2661	700	0.6486	0.6514	0.5875	0.6596	0.6593	0.6274	16281	11808.0	11900.0	11784	24	116	10877.0	10514	1294	363	0.6497	0.6513	0.5896	0.656	0.6555	0.6285
1	wgd	3	283	0.0031422813733418	0.0004385471343994	0.05552	5.02864	5.03952	32278	23497.0	23532.0	23469	28	63	10838.0	6666	16831	4172	0.6453	0.6448	0.4955	0.6556	0.656	0.5109	16281	11808.0	11834.0	11791	17	43	5487.0	3350	8458	2137	0.6497	0.6492	0.4946	0.656	0.6563	0.5084
2	wgd	3	8993	0.0035597125689188	0.0008217175801595	0.59034	5.0228	5.27469	23568	19663.0	13737.0	10916	8747	2821	13169.0	10270	9393	2899	0.4999	0.6392	0.6328	0.4903	0.7226	0.5841	16281	11808.0	8960.0	7284	4524	1676	8558.0	6857	4951	1701	0.6497	0.6386	0.6247	0.656	0.6293	0.655
3	wgd	3	22536	0.0010285774866739	0.0008240580558776	1.09236	5.02316	5.01255	10025	7456.0	7793.0	6213	1243	1580	2569.0	0	7456	2569	0.5	0.7242	0.5	0.3572	0.8246	0.3294	16281	11808.0	10463.0	7558	4250	2905	9078.0	7380	4428	1698	0.6497	0.6418	0.6358	0.656	0.6603	0.6663
