	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	lbfgs	1	4	0	0.0236975073814392	0.0002301573753356	1397.68989	9700.81063	11098.49685	32557	24716.0	24716.0	24716	0	0	24716.0	24716	0	0	0.5	0.5	0.5	0.6169	0.6091	0.6231	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.6058	0.6199
1	lbfgs	1	4	1	0.0252285321553548	0.0001870314280192	1636.69098	9700.81063	8064.12585	32557	24716.0	24716.0	24716	0	0	24716.0	24716	0	0	0.5	0.5	0.5	0.6168	0.5697	0.623	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5673	0.6199
2	lbfgs	1	4	2	0.0298712611198425	0.000211497147878	331.38025	9700.81063	9369.43349	32557	24718.0	24718.0	24718	0	0	24718.0	24718	0	0	0.5	0.5	0.5	0.6168	0.5761	0.623	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5732	0.6199
3	lbfgs	1	33	0	0.0298930486043294	0.0002100189526875	1029.60269	9700.81063	10730.41074	32528	24695.0	24695.0	24695	0	0	24695.0	24695	0	0	0.5	0.5	0.5	0.6168	0.6155	0.6229	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.6132	0.6199
4	lbfgs	1	33	1	0.0279206355412801	0.0001980423927307	4628.54452	9700.81063	5072.29326	32528	24696.0	24696.0	24696	0	0	24696.0	24696	0	0	0.5	0.5	0.5	0.6171	0.5713	0.6233	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5674	0.6199
5	lbfgs	1	33	2	0.0229820410410563	0.0002182960510253	767.62862	9700.81063	10468.43829	32528	24694.0	24694.0	24694	0	0	24694.0	24694	0	0	0.5	0.5	0.5	0.6169	0.5727	0.623	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5696	0.6199
6	lbfgs	1	326	0	0.0266282399495442	0.0002155780792236	4802.45225	9700.81063	14503.25017	32236	24490.0	24490.0	24490	0	0	24490.0	24490	0	0	0.5	0.5	0.5	0.6168	0.6158	0.623	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.612	0.6199
7	lbfgs	1	326	1	0.0231696883837381	0.0002103288968404	977.78535	9700.81063	8723.03297	32238	24482.0	24482.0	24482	0	0	24482.0	24482	0	0	0.5	0.5	0.5	0.6158	0.5759	0.6225	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5737	0.6199
8	lbfgs	1	326	2	0.0258033315340677	0.0002263704935709	374.24472	9700.81063	9332.71874	32237	24481.0	24481.0	24481	0	0	24481.0	24481	0	0	0.5	0.5	0.5	0.6164	0.572	0.6226	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.569	0.6199
9	lbfgs	1	1629	0	0.0244322816530863	0.0002041459083557	2178.4426	9700.81063	7522.43121	30973	23527.0	23527.0	23527	0	0	23527.0	23527	0	0	0.5	0.5	0.5	0.6164	0.5693	0.6226	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.567	0.6199
10	lbfgs	1	1629	1	0.0215494394302368	0.0002081354459126	1685.38852	9700.81063	8022.14498	30971	23531.0	23531.0	23531	0	0	23531.0	23531	0	0	0.5	0.5	0.5	0.6166	0.6226	0.623	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.6193	0.6199
11	lbfgs	1	1629	2	0.0235198537508646	0.0002191027005513	348.80445	9700.81063	10034.12994	30975	23542.0	23542.0	23542	0	0	23542.0	23542	0	0	0.5	0.5	0.5	0.6162	0.6142	0.6225	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.6115	0.6199
12	lbfgs	1	3257	0	0.0215089917182922	0.0002478559811909	418.23859	9700.81063	9282.60926	29467	22354.0	22354.0	22354	0	0	22354.0	22354	0	0	0.5	0.5	0.5	0.617	0.5808	0.6231	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5774	0.6199
13	lbfgs	1	3257	1	0.0225190877914428	0.0002355853716532	2159.40962	9700.81063	11848.14936	29455	22365.0	22365.0	22365	0	0	22365.0	22365	0	0	0.5	0.5	0.5	0.6182	0.6161	0.6254	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.6127	0.6199
14	lbfgs	1	3257	2	0.0228653709093729	0.0002549330393473	3301.49107	9700.81063	6399.34312	29470	22359.0	22359.0	22359	0	0	22359.0	22359	0	0	0.5	0.5	0.5	0.6169	0.5769	0.6231	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5724	0.6199
15	lbfgs	1	6513	0	0.0225439111391703	0.0003690679868062	2849.9288	9700.81063	6850.88378	26673	20245.0	20245.0	20245	0	0	20245.0	20245	0	0	0.5	0.5	0.5	0.6179	0.5728	0.6241	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5685	0.6199
16	lbfgs	1	6513	1	0.0272199471791585	0.0003617962201436	553.86565	9700.81063	9154.70384	26685	20300.0	20300.0	20300	0	0	20300.0	20300	0	0	0.5	0.5	0.5	0.6143	0.5657	0.6212	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.5658	0.6199
17	lbfgs	1	6513	2	0.0274157881736755	0.0003706494967142	2994.36737	9700.81063	6706.52343	26698	20244.0	20244.0	20244	0	0	20244.0	20244	0	0	0.5	0.5	0.5	0.6146	0.6106	0.6206	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6134	0.6092	0.6199
0	lbfgs	2	4	0	0.0425472617149353	0.0003756443659464	7720.75951	14407.57986	9655.77928	32557	24718.0	24718.0	24718	0	0	25132.0	24603	115	529	0.5	0.5	0.5314	0.5537	0.5994	0.6372	16281	12435.0	12435.0	12435	0	0	12632.0	12379	56	253	0.5	0.5	0.5306	0.5504	0.5952	0.6332
1	lbfgs	2	4	1	0.0372434457143147	0.00033460855484	9342.27136	14407.57963	8690.68793	32557	24718.0	24718.0	24718	0	0	25386.0	23716	1002	1670	0.5	0.5	0.5863	0.5536	0.582	0.5618	16281	12435.0	12435.0	12435	0	0	12750.0	11942	493	808	0.5	0.5	0.5852	0.5504	0.5784	0.5611
2	lbfgs	2	4	2	0.0366721073786417	0.000252358118693	7665.86706	14407.57783	11172.05696	32557	24716.0	24716.0	24716	0	0	24716.0	24716	0	0	0.5	0.5	0.5	0.5536	0.5779	0.5869	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5753	0.5828
3	lbfgs	2	33	0	0.0339554826418558	0.0002822200457255	8340.11698	14407.57783	9825.81082	32528	24696.0	24696.0	24696	0	0	24696.0	24696	0	0	0.5	0.5	0.5	0.5534	0.6078	0.5865	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.6035	0.5826
4	lbfgs	2	33	1	0.0356616457303365	0.0002586126327514	8368.46997	14407.57783	6674.51914	32528	24695.0	24695.0	24695	0	0	24695.0	24695	0	0	0.5	0.5	0.5	0.5536	0.5814	0.5867	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5762	0.5825
5	lbfgs	2	33	2	0.0369540572166442	0.0002686381340026	8224.98461	14407.57783	8843.25952	32528	24693.0	24693.0	24693	0	0	24693.0	24693	0	0	0.5	0.5	0.5	0.5537	0.5766	0.5867	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5732	0.5825
6	lbfgs	2	326	0	0.0410220344861348	0.000280737876892	8333.95795	14407.57783	8739.62088	32236	24490.0	24490.0	24490	0	0	24490.0	24490	0	0	0.5	0.5	0.5	0.5541	0.5916	0.5871	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5889	0.5825
7	lbfgs	2	326	1	0.0309594670931498	0.0002717693646748	8126.91723	14407.57783	9588.56142	32238	24482.0	24482.0	24482	0	0	24482.0	24482	0	0	0.5	0.5	0.5	0.5539	0.6627	0.5868	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.6599	0.5825
8	lbfgs	2	326	2	0.0317291736602783	0.0002797961235046	7782.58176	14407.57783	6856.06545	32237	24470.0	24470.0	24470	0	0	24470.0	24470	0	0	0.5	0.5	0.5	0.5537	0.5915	0.5868	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5883	0.5825
9	lbfgs	2	1629	0	0.0316223541895548	0.0003489017486572	9897.92219	14407.57783	6133.35458	30961	23503.0	23503.0	23503	0	0	23503.0	23503	0	0	0.5	0.5	0.5	0.5549	0.5854	0.588	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5811	0.5825
10	lbfgs	2	1629	1	0.0366904139518737	0.0003601829210917	7652.43115	14407.57783	10200.63223	30974	23514.0	23514.0	23514	0	0	23514.0	23514	0	0	0.5	0.5	0.5	0.5544	0.6439	0.5881	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.6397	0.5825
11	lbfgs	2	1629	2	0.0290965557098388	0.0003112991650899	7835.92982	14407.57783	8012.73781	30966	23500.0	23500.0	23500	0	0	23500.0	23500	0	0	0.5	0.5	0.5	0.5528	0.5816	0.5857	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5785	0.5825
12	lbfgs	2	3257	0	0.0363049149513244	0.0003311554590861	8595.01689	14407.57783	8613.83204	29450	22391.0	22391.0	22391	0	0	22391.0	22391	0	0	0.5	0.5	0.5	0.5548	0.6153	0.5879	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.6105	0.5825
13	lbfgs	2	3257	1	0.0297233502070109	0.0004757444063822	9460.4313	14407.57783	6998.55191	29466	22387.0	22387.0	22387	0	0	22387.0	22387	0	0	0.5	0.5	0.5	0.5556	0.6097	0.5879	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.6036	0.5825
14	lbfgs	2	3257	2	0.0373298645019531	0.0004646023114522	7427.37242	14407.57783	10383.23746	29468	22337.0	22337.0	22337	0	0	22337.0	22337	0	0	0.5	0.5	0.5	0.5536	0.595	0.5866	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.592	0.5825
15	lbfgs	2	6513	0	0.0329521179199218	0.0004913330078125	10225.57272	14407.57783	5644.09743	26661	20199.0	20199.0	20199	0	0	20199.0	20199	0	0	0.5	0.5	0.5	0.554	0.5759	0.5874	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5724	0.5825
16	lbfgs	2	6513	1	0.0310419917106628	0.0003981828689575	8455.55595	14407.57783	11839.58653	26645	20217.0	20217.0	20217	0	0	20217.0	20217	0	0	0.5	0.5	0.5	0.5549	0.5652	0.5861	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.5604	0.5825
17	lbfgs	2	6513	2	0.0292888800303141	0.0004698197046915	8780.84942	14407.57783	7636.58201	26681	20234.0	20234.0	20234	0	0	20234.0	20234	0	0	0.5	0.5	0.5	0.5571	0.6203	0.5897	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.5504	0.6137	0.5825
0	lbfgs	3	4	0	0.040384288628896	0.0003671685854593	4969.98799	7758.98246	5111.61818	32557	24716.0	24716.0	24716	0	0	24716.0	24716	0	0	0.5	0.5	0.5	0.6535	0.5774	0.6392	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5738	0.6359
1	lbfgs	3	4	1	0.0393644293149312	0.0003644426663716	7240.921	7758.98246	11431.61599	32557	24716.0	24716.0	24716	0	0	24716.0	24716	0	0	0.5	0.5	0.5	0.6535	0.5788	0.6391	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.575	0.6357
2	lbfgs	3	4	2	0.0396370331446329	0.0003428816795349	9749.16311	7758.98246	13777.74597	32557	24716.0	24716.0	24716	0	0	24716.0	24716	0	0	0.5	0.5	0.5	0.6535	0.68	0.6392	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6767	0.6358
3	lbfgs	3	33	0	0.0391386707623799	0.0003947536150614	5293.35138	7758.98246	9895.86294	32528	24696.0	24696.0	24696	0	0	24696.0	24696	0	0	0.5	0.5	0.5	0.6535	0.5915	0.6393	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5889	0.6359
4	lbfgs	3	33	1	0.0519619146982828	0.0006031036376953	3621.92112	7758.98307	5728.92371	32528	24693.0	24693.0	24693	0	0	25175.0	24594	99	581	0.5	0.5	0.5351	0.6533	0.6371	0.6765	16281	12435.0	12435.0	12435	0	0	12670.0	12387	48	283	0.5	0.5	0.5349	0.6527	0.6356	0.6751
5	lbfgs	3	33	2	0.0476776957511901	0.0004758477210998	3421.02201	7758.98246	6788.9745	32528	24692.0	24692.0	24692	0	0	24692.0	24692	0	0	0.5	0.5	0.5	0.6534	0.6351	0.6393	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6342	0.6359
6	lbfgs	3	326	0	0.0472127040227254	0.0005685051282246	6282.78483	7758.98246	9839.32187	32238	24471.0	24471.0	24471	0	0	24471.0	24471	0	0	0.5	0.5	0.5	0.6532	0.6256	0.6389	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6222	0.6359
7	lbfgs	3	326	1	0.0469156940778096	0.0004039883613586	3295.60422	7758.98246	7192.61193	32236	24475.0	24475.0	24475	0	0	24475.0	24475	0	0	0.5	0.5	0.5	0.6533	0.579	0.6389	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5758	0.6359
8	lbfgs	3	326	2	0.0344497799873352	0.000420320034027	5835.59537	7758.98246	8560.66001	32235	24463.0	24463.0	24463	0	0	24463.0	24463	0	0	0.5	0.5	0.5	0.6533	0.6535	0.639	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.65	0.6359
9	lbfgs	3	1629	0	0.0412721832593282	0.0005296031634012	5085.39415	7758.98246	7330.16738	30981	23513.0	23513.0	23513	0	0	23513.0	23513	0	0	0.5	0.5	0.5	0.6531	0.5847	0.6389	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5802	0.6359
10	lbfgs	3	1629	1	0.0359549800554911	0.0005572438240051	4010.24978	7758.98246	7601.6495	30972	23508.0	23508.0	23508	0	0	23508.0	23508	0	0	0.5	0.5	0.5	0.6545	0.5811	0.64	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5767	0.6359
11	lbfgs	3	1629	2	0.0397107124328613	0.0006280700365702	4661.44102	7758.98246	7730.35294	30964	23528.0	23528.0	23528	0	0	23528.0	23528	0	0	0.5	0.5	0.5	0.6528	0.6576	0.6389	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6538	0.6359
12	lbfgs	3	3257	0	0.0381820758183797	0.0006268342336018	5153.98478	7758.98246	9751.28508	29454	22344.0	22344.0	22344	0	0	22344.0	22344	0	0	0.5	0.5	0.5	0.6545	0.5802	0.6405	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5751	0.6359
13	lbfgs	3	3257	1	0.0368691444396972	0.0005837480227152	4544.43076	7758.98246	9098.94286	29463	22366.0	22366.0	22366	0	0	22366.0	22366	0	0	0.5	0.5	0.5	0.6548	0.6597	0.6398	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6556	0.6359
14	lbfgs	3	3257	2	0.0356180946032206	0.0006859421730041	7120.09213	7758.98246	10510.83269	29457	22345.0	22345.0	22345	0	0	22345.0	22345	0	0	0.5	0.5	0.5	0.6528	0.5751	0.6393	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.5712	0.6359
15	lbfgs	3	6513	0	0.0307450095812479	0.0005868514378865	3435.97243	7758.98246	5222.86358	26659	20227.0	20227.0	20227	0	0	20227.0	20227	0	0	0.5	0.5	0.5	0.6511	0.6357	0.6365	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6356	0.6359
16	lbfgs	3	6513	1	0.0292143980662028	0.0006029923756917	5242.06079	7758.98246	8199.21449	26682	20235.0	20235.0	20235	0	0	20235.0	20235	0	0	0.5	0.5	0.5	0.6517	0.6106	0.6378	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.608	0.6359
17	lbfgs	3	6513	2	0.0280517141024271	0.0007086992263793	4860.98542	7758.98246	7329.86638	26596	20197.0	20197.0	20197	0	0	20197.0	20197	0	0	0.5	0.5	0.5	0.6503	0.6091	0.6363	16281	12435.0	12435.0	12435	0	0	12435.0	12435	0	0	0.5	0.5	0.5	0.6527	0.6068	0.6359
0	wgd	1	4	0	0.0029422005017598	0.00018097559611	0.00014	5.01664	5.01662	32557	23653.0	23653.0	23653	0	0	23752.0	23507	146	245	0.6494	0.6494	0.645	0.6598	0.6598	0.726	16281	11791.0	11791.0	11791	0	0	11867.0	11715	76	152	0.6496	0.6496	0.6459	0.6545	0.6545	0.724
1	wgd	1	4	1	0.0035092035929361	0.0002866188685099	0.00014	5.01664	5.01662	32557	23652.0	23652.0	23652	0	0	23751.0	23506	146	245	0.6493	0.6493	0.645	0.6598	0.6598	0.726	16281	11791.0	11791.0	11791	0	0	11867.0	11715	76	152	0.6496	0.6496	0.6459	0.6545	0.6545	0.724
2	wgd	1	4	2	0.003774336973826	0.0002113342285156	0.00018	5.01664	5.01659	32557	23653.0	23653.0	23653	0	0	23752.0	23507	146	245	0.6494	0.6494	0.645	0.6598	0.6598	0.726	16281	11791.0	11791.0	11791	0	0	11867.0	11715	76	152	0.6496	0.6496	0.6459	0.6545	0.6545	0.724
3	wgd	1	33	0	0.0038042664527893	0.0002718528111775	0.00058	5.01504	5.01505	32528	23628.0	23628.0	23628	0	0	22541.0	21821	1807	720	0.6492	0.6492	0.6191	0.6597	0.6597	0.6644	16281	11791.0	11791.0	11791	0	0	11211.0	10856	935	355	0.6496	0.6496	0.6162	0.6545	0.6545	0.6618
4	wgd	1	33	1	0.0039604226748148	0.0002755443255106	0.00065	5.01635	5.01648	32528	23629.0	23629.0	23629	0	0	24352.0	22727	902	1625	0.6492	0.6492	0.6327	0.6597	0.6597	0.7149	16281	11791.0	11792.0	11791	0	1	12197.0	11336	455	861	0.6496	0.6496	0.6328	0.6545	0.6545	0.7136
