num_prot	n	iter	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	4	0	0:original; 1:retrain; 2:unlearn	0.37344154516855876	0.0006545384724934896	0.28566	6.72159	6.77404	0.9922572054490377	0.0	-43.0	-43.0	0.5	0.5	0.5319	0.6915	0.6936	0.7635
2	4	1	0:original; 1:retrain; 2:unlearn	0.3692904472351074	0.0006040970484415691	0.6176	6.72159	6.85153	0.9810348929363222	0.0	-43.0	-43.0	0.5	0.5	0.5319	0.6915	0.7039	0.7635
2	4	2	0:original; 1:retrain; 2:unlearn	0.3626970450083415	0.0005479653676350912	0.11581	6.72159	6.72111	1.0000714167749076	0.0	-43.0	-43.0	0.5	0.5	0.5319	0.6915	0.6915	0.7635
2	33	0	0:original; 1:retrain; 2:unlearn	0.3539172569910685	0.000654757022857666	0.28746	6.72861	6.75593	0.9959561451939258	0.0	-38.0	-38.0	0.5	0.5	0.5427	0.6915	0.6935	0.7891
2	33	1	0:original; 1:retrain; 2:unlearn	0.33155304590861	0.0006530483563741049	0.70188	6.72861	6.89053	0.9765010819196781	0.0	-38.0	-38.0	0.5	0.5	0.5427	0.6915	0.7045	0.7891
2	33	2	0:original; 1:retrain; 2:unlearn	0.3361415505409241	0.0006395578384399414	0.24977	6.72861	6.77011	0.9938701143703721	0.0	-38.0	-38.0	0.5	0.5	0.5427	0.6915	0.692	0.7891
2	330	0	0:original; 1:retrain; 2:unlearn	0.3281228423118591	0.0007899880409240722	0.60308	6.73047	6.83052	0.9853525061049525	0.0	-8.0	-8.0	0.5	0.5	0.5061	0.6915	0.706	0.7692
2	330	1	0:original; 1:retrain; 2:unlearn	0.33963175614674884	0.0009474356969197592	0.08074	6.73047	6.72833	1.0003180581214062	0.0	-8.0	-8.0	0.5	0.5	0.5061	0.6915	0.6914	0.7692
2	330	2	0:original; 1:retrain; 2:unlearn	0.2999429186185201	0.0005854527155558268	0.69924	6.73047	6.84222	0.9836675815744014	0.0	-8.0	-8.0	0.5	0.5	0.5061	0.6915	0.7061	0.7692
2	1648	0	0:original; 1:retrain; 2:unlearn	0.25810554027557375	0.0006206750869750977	0.66744	6.72869	6.78496	0.9917066570768288	0.0	-10.0	-10.0	0.5	0.5	0.5072	0.6915	0.7063	0.7703
2	1648	1	0:original; 1:retrain; 2:unlearn	0.25822431246439614	0.0006207466125488281	0.82169	6.72869	6.68409	1.006672561261144	0.0	-10.0	-10.0	0.5	0.5	0.5072	0.6915	0.6918	0.7703
2	1648	2	0:original; 1:retrain; 2:unlearn	0.2546867887179057	0.0006268501281738281	0.11919	6.72869	6.69649	1.004808489223459	0.0	-10.0	-10.0	0.5	0.5	0.5072	0.6915	0.6918	0.7703
2	3295	0	0:original; 1:retrain; 2:unlearn	0.2460917830467224	0.0006659348805745442	0.55946	6.72795	6.72196	1.0008911091407864	0.0	-8.0	-8.0	0.5	0.5	0.5066	0.6915	0.7077	0.7691
2	3295	1	0:original; 1:retrain; 2:unlearn	0.2471560796101888	0.0006689230600992838	0.34315	6.72795	6.6128	1.017413198645052	0.0	-8.0	-8.0	0.5	0.5	0.5066	0.6915	0.6975	0.7691
2	3295	2	0:original; 1:retrain; 2:unlearn	0.24666999181111654	0.000710745652516683	0.84473	6.72795	6.63489	1.0140258542342073	0.0	-8.0	-8.0	0.5	0.5	0.5066	0.6915	0.6959	0.7691
2	6590	0	0:original; 1:retrain; 2:unlearn	0.2224344531695048	0.0007567246754964193	0.75215	6.72912	6.63473	1.0142266527801433	-2.0	-8.0	-6.0	0.5	0.5011	0.5057	0.6915	0.7075	0.7691
2	6590	1	0:original; 1:retrain; 2:unlearn	0.2239438811937968	0.0007603049278259277	0.87341	6.72912	6.57129	1.0240181151646024	-2.0	-8.0	-6.0	0.5	0.5011	0.5057	0.6915	0.6994	0.7691
2	6590	2	0:original; 1:retrain; 2:unlearn	0.2245420455932617	0.0007605671882629395	0.90114	6.72912	6.54686	1.0278393000614034	-1.0	-8.0	-7.0	0.5	0.5005	0.5057	0.6915	0.6926	0.7691
