	solver_type	prot_per_class	num_unlearned_samples	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	wgd	1	17	0.0043769359588623	0.000638743241628	0.00145	5.05694	5.0568	32933	21801.0	21801.0	21801	0	0	20946.0	16292	5509	4654	0.6904	0.6904	0.6097	0.7386	0.7387	0.6837	8238	5449.0	5448.0	5448	1	0	5251.0	4086	1363	1165	0.6846	0.684	0.6024	0.7318	0.7318	0.6783
1	wgd	1	168	0.0045215924580891	0.0006315986315409	0.00856	5.05555	5.05393	32782	21736.0	21736.0	21736	0	0	20749.0	16623	5113	4126	0.6918	0.6918	0.626	0.7391	0.7389	0.707	8238	5449.0	5448.0	5447	2	1	5192.0	4171	1278	1021	0.6846	0.684	0.6185	0.7318	0.7316	0.6997
2	wgd	1	346	0.004762840270996	0.0006249626477559	0.02065	5.05413	5.05064	32604	21622.0	21622.0	21622	0	0	22272.0	20878	744	1394	0.6932	0.6932	0.6914	0.7402	0.7399	0.7593	8238	5449.0	5454.0	5447	2	7	5618.0	5242	207	376	0.6846	0.684	0.6849	0.7318	0.7316	0.7522
3	wgd	1	732	0.004260508219401	0.0006468454996744	0.03263	5.05429	5.05143	32218	21316.0	21316.0	21316	0	0	21618.0	21307	9	311	0.6954	0.6954	0.6996	0.7412	0.7403	0.7665	8238	5449.0	5454.0	5447	2	7	5468.0	5376	73	92	0.6846	0.684	0.6928	0.7318	0.731	0.7594
4	wgd	1	1901	0.0040450096130371	0.00068861246109	0.06214	5.05423	5.05973	31049	20874.0	20874.0	20874	0	0	22266.0	20588	286	1678	0.7049	0.7049	0.7085	0.7443	0.7436	0.7667	8238	5449.0	5453.0	5447	2	6	5817.0	5316	133	501	0.6846	0.6839	0.6818	0.7318	0.7309	0.7463
5	wgd	1	3455	0.00394233862559	0.0007646600405375	0.10208	5.05412	5.05349	29495	20328.0	20328.0	20328	0	0	20328.0	20328	0	0	0.7173	0.7173	0.7173	0.7486	0.7469	0.7835	8238	5449.0	5455.0	5446	3	9	5454.0	5438	11	16	0.6846	0.6836	0.6798	0.7318	0.7298	0.7608
0	wgd	2	293	0.0024392406145731	0.0004967411359151	0.02575	5.05776	5.05533	32657	21627.0	21622.0	21614	13	8	21351.0	20471	1156	880	0.6883	0.6886	0.6895	0.7385	0.7395	0.7587	8238	5457.0	5458.0	5456	1	2	5422.0	5176	281	246	0.6818	0.6824	0.6925	0.7317	0.7327	0.7555
1	wgd	2	10932	0.001683747768402	0.0006834427515665	0.6549	5.05645	5.0262	22018	18717.0	17404.0	17101	1616	303	18591.0	18507	210	84	0.5946	0.6632	0.6075	0.6865	0.7204	0.7209	8238	5457.0	5152.0	5060	397	92	5443.0	5401	56	42	0.6818	0.7039	0.6893	0.7317	0.701	0.7535
2	wgd	2	28949	0.0003727475802103	0.0009608507156372	0.93589	5.05623	5.20694	4001	3801.0	2681.0	2573	1228	108	3783.0	3783	18	0	0.5	0.6085	0.4976	0.6985	0.6945	0.6588	8238	5457.0	5683.0	4189	1268	1494	5943.0	4771	686	1172	0.6818	0.633	0.6923	0.7317	0.6961	0.7515
0	wgd	3	3227	0.0026492714881896	0.0007539510726928	0.16603	5.05122	5.02849	29723	20933.0	20869.0	20831	102	38	20890.0	20712	221	178	0.6799	0.6826	0.6955	0.7353	0.7285	0.748	8238	5458.0	5445.0	5430	28	15	5445.0	5399	59	46	0.6824	0.6857	0.6922	0.7341	0.7232	0.7491
1	wgd	3	14844	0.0015374302864074	0.0009745955467224	0.81498	5.05141	4.86046	18106	17203.0	12638.0	12080	5123	558	17039.0	17019	184	20	0.5	0.6601	0.5057	0.6373	0.7421	0.6908	8238	5458.0	4229.0	4044	1414	185	5662.0	5379	79	283	0.6824	0.6756	0.6889	0.7341	0.721	0.7461
