	solver_type	prot_per_class	num_unlearned_samples	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	wgd	1	226	1.223701806863149	0.0003516594568888	9e-05	2.63715	2.63715	11463037	7928284.0	7928284.0	7928284	0	0	8366062.0	6749976	1178308	1616086	0.5998	0.5998	0.631	0.742	0.742	0.7474	2516328	1741516.0	1741526.0	1741514	2	12	1836378.0	1482078	259438	354300	0.5997	0.5997	0.63	0.7415	0.7415	0.7468
1	wgd	1	3035	1.281279488404592	0.0004018584887186	0.00039	2.637	2.63688	11460228	7927019.0	7927019.0	7927019	0	0	7917159.0	7905513	21506	11646	0.5998	0.5998	0.6063	0.7421	0.7421	0.7671	2516328	1741516.0	1741545.0	1741501	15	44	1739302.0	1736630	4886	2672	0.5997	0.5996	0.6062	0.7415	0.7415	0.7668
2	wgd	1	318040	1.2197212060292562	0.0059944550196329	0.02265	2.65175	2.64825	11145223	7911565.0	7918935.0	7905766	5799	13169	9155207.0	6619282	1292283	2535925	0.6085	0.6052	0.5693	0.7497	0.746	0.7131	2516328	1741516.0	1743652.0	1738382	3134	5270	2013882.0	1455334	286182	558548	0.5997	0.596	0.5595	0.7415	0.7373	0.6952
3	wgd	1	3061127	0.9139191468556722	0.0644251902898152	0.20008	2.64343	2.73386	8402136	7660213.0	7660213.0	7660213	0	0	7606888.0	7581668	78545	25220	0.6768	0.6768	0.6999	0.8286	0.8332	0.8859	2516328	1741516.0	1741457.0	1738325	3191	3132	1819233.0	1712482	29034	106751	0.5997	0.6008	0.6196	0.7415	0.7406	0.7387
4	wgd	1	4433633	0.987299116452535	0.1264946738878886	0.34017	2.64917	2.77803	7029630	6525692.0	6525692.0	6525692	0	0	6525692.0	6525692	0	0	0.6148	0.6148	0.6148	0.8866	0.8849	0.8916	2516328	1741516.0	2326964.0	1693707	47809	633257	1994102.0	1454644	286872	539458	0.5997	0.589	0.5801	0.7415	0.7374	0.7423
0	wgd	2	9683	1.2602203170458477	0.0005573948224385	0.00847	2.63336	2.63461	11453580	10615803.0	10624463.0	10613229	2574	11234	10635726.0	10613561	2242	22165	0.5896	0.5877	0.5892	0.7661	0.7623	0.8674	2516328	2330686.0	2332752.0	2329989	697	2763	2335068.0	2330173	513	4895	0.5899	0.5876	0.5895	0.766	0.7622	0.8668
1	wgd	2	378662	1.2540136694908142	0.0074424664179484	0.13416	2.64709	2.66669	11084601	10530414.0	7912222.0	7617237	2913177	294985	7842440.0	7647000	2883414	195440	0.5329	0.5421	0.5771	0.7451	0.7112	0.7701	2516328	2330686.0	1759980.0	1691566	639120	68414	1742302.0	1698563	632123	43739	0.5899	0.5794	0.6108	0.766	0.707	0.786
2	wgd	2	1654427	1.2909184257189432	0.0381537636121114	0.21635	2.64892	2.58848	9808836	9345665.0	6686687.0	6445233	2900432	241454	8984072.0	8876696	468969	107376	0.5252	0.543	0.5063	0.7659	0.7485	0.654	2516328	2330686.0	1790450.0	1689410	641276	101040	2049189.0	1955402	375284	93787	0.5899	0.5776	0.4904	0.766	0.7027	0.6424
3	wgd	2	4906202	0.7686286528905233	0.1027157704035441	0.40198	2.64545	2.79592	6557061	6356234.0	6185911.0	6042338	313896	143573	6356234.0	6356234	0	0	0.5	0.8328	0.5	0.8877	0.9239	0.9121	2516328	2330686.0	2226863.0	2139256	191430	87607	1538290.0	1436574	894112	101716	0.5899	0.8415	0.5638	0.766	0.8889	0.6757
0	wgd	3	426	1.7019099632898966	0.0017904043197631	0.03532	2.65547	2.65159	11462837	10635738.0	10635663.0	10631050	4688	4613	7906648.0	7737354	2898384	169294	0.586	0.5873	0.6105	0.7589	0.7584	0.7721	2516328	2334582.0	2334623.0	2333575	1007	1048	1736661.0	1699420	635162	37241	0.5855	0.587	0.6105	0.7588	0.7581	0.7722
1	wgd	3	534214	1.3786615014076231	0.0148197452227274	0.07761	2.63795	2.63403	10929049	10175690.0	10159269.0	10153738	21952	5531	9015677.0	8941657	1234033	74020	0.582	0.5865	0.596	0.761	0.7636	0.7842	2516328	2334582.0	2331098.0	2329489	5093	1609	1987857.0	1964275	370307	23582	0.5855	0.5898	0.595	0.7588	0.7548	0.7616
2	wgd	3	1801790	1.2193305293718977	0.0406994620958964	0.2517	2.63395	2.76612	9661473	9382190.0	2027699.0	1769386	7612804	258313	9382172.0	9381985	205	187	0.5	0.5568	0.5003	0.6643	0.8049	0.8899	2516328	2334582.0	713541.0	655228	1679354	58313	2247799.0	2235691	98891	12108	0.5855	0.4817	0.5886	0.7588	0.603	0.8614
