	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	lbfgs	1	1147	0	6.223647542794546	0.0003012259801228	3047.13193	11695.38653	8648.36911	11462116	10923495.0	10923495.0	10923495	0	0	10922623.0	10917080	6415	5543	0.5	0.5	0.5049	0.4677	0.7151	0.6696	2516328	2398080.0	2398080.0	2398080	0	0	2397809.0	2396680	1400	1129	0.5	0.5	0.5045	0.4667	0.7146	0.6692
1	lbfgs	1	114633	0	6.335699673493703	0.0024225036303202	3368.66321	11695.38652	15063.4179	11349228	10815941.0	10815941.0	10815941	0	0	10815096.0	10809603	6338	5493	0.5	0.5	0.5049	0.4677	0.4741	0.6696	2516328	2398080.0	2398080.0	2398080	0	0	2397809.0	2396680	1400	1129	0.5	0.5	0.5045	0.4667	0.4733	0.6692
2	lbfgs	1	1146327	0	5.729825488726298	0.0288000345230102	999.01147	11695.38668	12689.78248	10372221	9884556.0	9884556.0	9884556	0	0	9883804.0	9878777	5779	5027	0.5	0.5	0.5049	0.4678	0.7111	0.6691	2516328	2398080.0	2398080.0	2398080	0	0	2397809.0	2396680	1400	1129	0.5	0.5	0.5045	0.4667	0.7104	0.6689
3	lbfgs	1	2292653	0	5.803545308113098	0.0563382625579833	6967.00315	11695.3869	4728.44652	9385216	8944020.0	8944020.0	8944020	0	0	8943438.0	8938858	5162	4580	0.5	0.5	0.5049	0.4676	0.7209	0.6691	2516328	2398080.0	2398080.0	2398080	0	0	2397828.0	2396701	1379	1127	0.5	0.5	0.5045	0.4667	0.7204	0.6686
0	lbfgs	2	1147	0	9.500524429480237	0.0003567894299825	8249.49867	8816.8382	10888.93835	11462116	10923492.0	10923492.0	10923492	0	0	10923492.0	10923492	0	0	0.5	0.5	0.5	0.7141	0.6014	0.6713	2516328	2398080.0	2398080.0	2398080	0	0	2398080.0	2398080	0	0	0.5	0.5	0.5	0.7128	0.6011	0.6707
1	lbfgs	2	114633	0	7.482478868961334	0.0023150602976481	3523.26993	8816.83818	7284.56787	11349204	10815943.0	10815943.0	10815943	0	0	10815943.0	10815943	0	0	0.5	0.5	0.5	0.714	0.446	0.6714	2516328	2398080.0	2398080.0	2398080	0	0	2398080.0	2398080	0	0	0.5	0.5	0.5	0.7128	0.4447	0.6707
2	lbfgs	2	1146327	0	8.33842139641444	0.0257410287857055	3119.32745	8816.83814	9443.05319	10372756	9885518.0	9885518.0	9885518	0	0	9885518.0	9885518	0	0	0.5	0.5	0.5	0.7142	0.5281	0.6719	2516328	2398080.0	2398080.0	2398080	0	0	2398080.0	2398080	0	0	0.5	0.5	0.5	0.7128	0.5267	0.6711
3	lbfgs	2	2292653	0	4.748149927457174	0.0421322584152221	8651.40775	8816.83813	14336.64381	9385360	8944516.0	8944516.0	8944516	0	0	8944516.0	8944516	0	0	0.5	0.5	0.5	0.7142	0.7202	0.6744	2516328	2398080.0	2398080.0	2398080	0	0	2398080.0	2398080	0	0	0.5	0.5	0.5	0.7128	0.7196	0.6736
0	lbfgs	3	1147	0	12.434877101580302	0.000642975171407	2489.51047	4756.54303	5228.75855	11462116	10923509.0	10923509.0	10923509	0	0	10923509.0	10923509	0	0	0.5	0.5	0.5	0.7441	0.6702	0.6981	2516328	2398080.0	2398080.0	2398080	0	0	2398080.0	2398080	0	0	0.5	0.5	0.5	0.7431	0.6694	0.6978
1	lbfgs	3	114633	0	10.915556212266289	0.0027520219484965	2301.77322	4756.54305	3654.59062	11349219	10815833.0	10815833.0	10815833	0	0	10815833.0	10815833	0	0	0.5	0.5	0.5	0.7441	0.7623	0.6979	2516328	2398080.0	2398080.0	2398080	0	0	2398080.0	2398080	0	0	0.5	0.5	0.5	0.7431	0.7611	0.6976
