num_prot	n	iter	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	9	0	0:original; 1:retrain; 2:unlearn	0.8692347367604574	0.0011718193689982095	0.35534	7.34	7.33988	1.0000163490411287	2.0	1055.0	1053.0	0.5788	0.5786	0.5585	0.6379	0.6378	0.5904
2	9	1	0:original; 1:retrain; 2:unlearn	0.8683364391326904	0.001151132583618164	0.83464	7.34	7.33977	1.000031336131786	-69.0	1055.0	1124.0	0.5788	0.5831	0.5585	0.6379	0.6395	0.5904
2	9	2	0:original; 1:retrain; 2:unlearn	0.8584195534388225	0.0011141538619995118	0.35812	7.34	7.34664	0.9990961854670979	2.0	1055.0	1053.0	0.5788	0.5787	0.5585	0.6379	0.6378	0.5904
2	82	0	0:original; 1:retrain; 2:unlearn	0.8862357854843139	0.001860980192820231	0.83233	7.33532	7.34418	0.9987936025533144	-74.0	-177.0	-103.0	0.5788	0.5835	0.5926	0.6379	0.6384	0.6401
2	82	1	0:original; 1:retrain; 2:unlearn	0.9627118229866027	0.0013845324516296386	0.35042	7.33532	7.33555	0.9999686458411435	1.0	-177.0	-178.0	0.5788	0.5787	0.5926	0.6379	0.6379	0.6401
2	82	2	0:original; 1:retrain; 2:unlearn	0.8507968147595724	0.0014025290807088216	0.82413	7.33532	7.34668	0.9984537233144768	-80.0	-177.0	-97.0	0.5788	0.584	0.5926	0.6379	0.6384	0.6401
2	815	0	0:original; 1:retrain; 2:unlearn	0.8498914281527201	0.0015964508056640625	0.35011	7.3352	7.33192	1.0004473589455423	-1.0	-174.0	-173.0	0.5788	0.5789	0.5925	0.6379	0.6379	0.6441
2	815	1	0:original; 1:retrain; 2:unlearn	0.8233129064242045	0.0014244596163431804	0.83907	7.3352	7.32032	1.00203269802413	-36.0	-174.0	-138.0	0.5788	0.5813	0.5925	0.6379	0.6394	0.6441
2	815	2	0:original; 1:retrain; 2:unlearn	0.9474999626477559	0.0016224781672159831	0.31819	7.3352	7.32598	1.0012585346943343	-83.0	-174.0	-91.0	0.5788	0.5839	0.5925	0.6379	0.6386	0.6441
2	4071	0	0:original; 1:retrain; 2:unlearn	0.7853723605473836	0.0034935752550760905	0.62247	7.33513	7.29497	1.0055051631466614	-41.0	-199.0	-158.0	0.5788	0.581	0.5947	0.6379	0.6371	0.6439
2	4071	1	0:original; 1:retrain; 2:unlearn	0.815566341082255	0.00273439089457194	0.59852	7.33513	7.33409	1.00014180355027	-3.0	-199.0	-196.0	0.5788	0.5791	0.5947	0.6379	0.6376	0.6439
2	4071	2	0:original; 1:retrain; 2:unlearn	0.8917885859807332	0.001668242613474528	0.80679	7.33513	7.33853	0.9995366919532931	-96.0	-199.0	-103.0	0.5788	0.5848	0.5947	0.6379	0.6393	0.6439
2	8142	0	0:original; 1:retrain; 2:unlearn	0.7667389671007793	0.002039464314778646	0.34212	7.33511	7.3185	1.0022695907631345	2.0	-204.0	-206.0	0.5788	0.5786	0.5954	0.6379	0.638	0.6442
2	8142	1	0:original; 1:retrain; 2:unlearn	0.8069211721420289	0.0020705779393513997	0.33149	7.33511	7.32044	1.0020039779029677	-88.0	-204.0	-116.0	0.5788	0.5843	0.5954	0.6379	0.6385	0.6442
2	8142	2	0:original; 1:retrain; 2:unlearn	0.8523602604866027	0.0019918123881022135	0.60414	7.33511	7.31611	1.0025970085195548	1.0	-204.0	-205.0	0.5788	0.5787	0.5954	0.6379	0.6379	0.6442
2	16283	0	0:original; 1:retrain; 2:unlearn	0.7040262619654337	0.003573747475941976	0.20054	7.33508	7.25429	1.0111368583279685	-7.0	-211.0	-204.0	0.5788	0.5796	0.5968	0.6379	0.6384	0.6439
2	16283	1	0:original; 1:retrain; 2:unlearn	0.7510068456331889	0.0027945240338643393	0.60577	7.33508	7.31285	1.0030398545026904	-48.0	-211.0	-163.0	0.5788	0.5821	0.5968	0.6379	0.6375	0.6439
2	16283	2	0:original; 1:retrain; 2:unlearn	0.7478525122006734	0.002665138244628906	0.85618	7.33508	7.26316	1.0099020261153546	-55.0	-211.0	-156.0	0.5788	0.5828	0.5968	0.6379	0.6388	0.6439
