	solver_type	prot_per_class	num_unlearned_samples	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	lbfgs	1	14	2.3147774656613667	0.0009314695994059	0.01639	7.40332	7.40006	81398	47005.0	46930.0	46826	179	104	46849.0	46639	366	210	0.5451	0.5439	0.5426	0.6399	0.6397	0.6429	20354	11780.0	11749.0	11733	47	16	11723.0	11675	105	48	0.5477	0.5459	0.5443	0.6374	0.6372	0.6424
1	lbfgs	1	72	2.244291194279989	0.0024186531702677	0.01312	7.40329	7.40382	81340	46973.0	46969.0	46967	6	2	46806.0	46597	376	209	0.545	0.5449	0.5424	0.6398	0.6398	0.643	20354	11780.0	11780.0	11775	5	5	11720.0	11667	113	53	0.5477	0.5476	0.5441	0.6374	0.6374	0.6425
2	lbfgs	1	762	1.5314826647440591	0.0008882125218709	0.05024	7.40332	7.40877	80650	46644.0	46295.0	45984	660	311	46537.0	46416	228	121	0.5442	0.5389	0.5425	0.6387	0.6382	0.642	20354	11780.0	11630.0	11534	246	96	11701.0	11640	140	61	0.5477	0.539	0.543	0.6374	0.6369	0.6425
3	lbfgs	1	3977	1.3626301010449728	0.0007910092671712	0.26955	7.40568	7.49719	77435	45093.0	43615.0	42613	2480	1002	45105.0	44722	371	383	0.5399	0.5161	0.5408	0.6322	0.631	0.6314	20354	11780.0	11227.0	10854	926	373	11754.0	11492	288	262	0.5477	0.5155	0.5471	0.6374	0.636	0.6385
4	lbfgs	1	8289	1.2715977509816487	0.0009889960289001	0.68967	7.40899	7.68587	73123	42959.0	41051.0	40112	2847	939	42992.0	40936	2023	2056	0.5334	0.5005	0.5407	0.6232	0.6193	0.6137	20354	11780.0	10955.0	10475	1305	480	12035.0	10852	928	1183	0.5477	0.5002	0.5678	0.6374	0.6333	0.6284
0	lbfgs	2	5	1.6260661363601685	0.0006904244422912	0.63414	7.48148	7.44189	81407	48109.0	48487.0	46418	1691	2069	47947.0	47708	401	239	0.5634	0.5687	0.5608	0.6409	0.6418	0.6461	20354	12015.0	12132.0	11607	408	525	11971.0	11901	114	70	0.5638	0.5703	0.561	0.6386	0.639	0.646
1	lbfgs	2	47	2.2060375849405927	0.0023479143778483	0.58734	7.48146	7.4391	81365	48092.0	48449.0	46390	1702	2059	47930.0	47725	367	205	0.5634	0.5685	0.5609	0.6409	0.6422	0.6461	20354	12015.0	12139.0	11610	405	529	11973.0	11908	107	65	0.5638	0.5706	0.5611	0.6386	0.64	0.6461
2	lbfgs	2	477	1.7556161006291708	0.0014538486798604	1.09163	7.48219	7.44853	80935	47896.0	48202.0	46299	1597	1903	49101.0	44346	3550	4755	0.5637	0.5678	0.5869	0.6406	0.6414	0.6405	20354	12015.0	12104.0	11615	400	489	12311.0	11144	871	1167	0.5638	0.5687	0.5861	0.6386	0.6389	0.6386
3	lbfgs	2	5966	1.785609777768453	0.0019443949063618	1.01771	7.48182	7.45353	75446	45184.0	44916.0	44118	1066	798	46320.0	42283	2901	4037	0.5664	0.5607	0.5902	0.6406	0.6411	0.6439	20354	12015.0	11930.0	11662	353	268	12383.0	11150	865	1233	0.5638	0.5576	0.5899	0.6386	0.6395	0.6423
4	lbfgs	2	30495	1.4575252056121826	0.003723128636678	1.20721	7.48259	7.44809	50917	31358.0	31161.0	30798	560	363	32017.0	27207	4151	4810	0.5732	0.5671	0.6077	0.6393	0.6369	0.6466	20354	12015.0	11705.0	11264	751	441	12485.0	9490	2525	2995	0.5638	0.5441	0.6078	0.6386	0.6357	0.6432
5	lbfgs	2	75943	0.1057933886845906	0.0049333373705546	1.45078	7.50342	7.14467	5469	3391.0	3606.0	2644	747	962	3105.0	1558	1833	1547	0.6386	0.6355	0.5	0.6922	0.6714	0.6158	20354	12015.0	11287.0	6731	5284	4556	9970.0	2964	9051	7006	0.5638	0.5649	0.5232	0.6386	0.6048	0.6263
0	lbfgs	3	3	1.86277600924174	0.0007821162541707	1.18159	7.57927	7.40436	81409	48175.0	48890.0	46438	1737	2452	47841.0	47414	761	427	0.5635	0.5759	0.5582	0.6413	0.6429	0.6442	20354	12050.0	12219.0	11626	424	593	11975.0	11854	196	121	0.5649	0.5766	0.56	0.6394	0.6409	0.6446
1	lbfgs	3	12	1.878747852643331	0.0010112444559733	1.1407	7.57928	7.40157	81400	48173.0	48946.0	46224	1949	2722	47803.0	47328	845	475	0.5635	0.5773	0.5576	0.6412	0.6419	0.644	20354	12050.0	12211.0	11559	491	652	11976.0	11838	212	138	0.5649	0.5769	0.5599	0.6394	0.6406	0.6443
2	lbfgs	3	91	1.9899723649024963	0.0015300552050272	1.29701	7.62343	7.42998	81321	48144.0	48380.0	46420	1724	1960	45301.0	25982	22162	19319	0.5636	0.5688	0.569	0.6413	0.6405	0.622	20354	12050.0	12117.0	11622	428	495	11335.0	6555	5495	4780	0.5649	0.5704	0.5681	0.6394	0.6388	0.6214
3	lbfgs	3	1159	1.924391229947408	0.0016170978546142	1.33416	7.57972	7.38248	80253	47581.0	47831.0	46184	1397	1647	49176.0	43795	3786	5381	0.5639	0.5691	0.5932	0.6413	0.6409	0.6433	20354	12050.0	12138.0	11674	376	464	12427.0	11046	1004	1381	0.5649	0.5713	0.5925	0.6394	0.6385	0.6434
4	lbfgs	3	15706	1.4758204023043315	0.0022247989972432	1.0268	7.57951	7.37023	65706	39773.0	39560.0	38757	1016	803	40700.0	36068	3705	4632	0.57	0.5666	0.5969	0.6421	0.6408	0.6388	20354	12050.0	11909.0	11522	528	387	12508.0	10578	1472	1930	0.5649	0.5572	0.6003	0.6394	0.6363	0.6383
5	lbfgs	3	75938	0.1261640866597493	0.0076348384221394	1.57598	7.58952	7.01524	5474	3753.0	3806.0	3503	250	303	3769.0	3706	47	63	0.6894	0.6863	0.6898	0.7192	0.7146	0.7288	20354	12050.0	11513.0	7421	4629	4092	12334.0	11470	580	864	0.5649	0.5711	0.5843	0.6394	0.6074	0.6367
0	wgd	1	1	0.0159839272499084	0.0003827691078186	8e-05	7.03365	7.03366	81411	50167.0	50165.0	50164	3	1	40647.0	25580	24587	15067	0.6093	0.6093	0.5002	0.6402	0.6402	0.489	20354	12509.0	12507.0	12507	2	0	10139.0	6414	6095	3725	0.6079	0.6078	0.4993	0.6379	0.6379	0.4904
1	wgd	1	11	0.0159743388493855	0.000770366191864	0.00016	7.031	7.031	81401	50164.0	50161.0	50159	5	2	42088.0	30192	19972	11896	0.6094	0.6093	0.513	0.6402	0.6402	0.5237	20354	12509.0	12508.0	12506	3	2	10604.0	7569	4940	3035	0.6079	0.6078	0.5171	0.6379	0.6379	0.5268
2	wgd	1	90	0.0160329858462015	0.0007703145345052	0.00049	7.02975	7.02985	81322	50120.0	50120.0	50120	0	0	46189.0	38637	11483	7552	0.6094	0.6094	0.5676	0.6402	0.6402	0.5945	20354	12509.0	12509.0	12507	2	2	11575.0	9611	2898	1964	0.6079	0.6079	0.5684	0.6379	0.6379	0.5977
3	wgd	1	887	0.0155683000882466	0.0007835348447163	0.00297	7.02966	7.03045	80525	49712.0	49712.0	49712	0	0	48601.0	45305	4407	3296	0.6103	0.6103	0.5998	0.6408	0.6407	0.6298	20354	12509.0	12513.0	12501	8	12	12219.0	11361	1148	858	0.6079	0.6081	0.5966	0.6379	0.6378	0.6301
4	wgd	1	7635	0.0148340980211893	0.0011333147684733	0.03168	7.02968	7.03874	73777	46235.0	46235.0	46235	0	0	45440.0	43629	2606	1811	0.6192	0.6192	0.6112	0.6455	0.6445	0.6392	20354	12509.0	12499.0	12403	106	96	12180.0	11381	1128	799	0.6079	0.6075	0.5951	0.6379	0.6371	0.6304
5	wgd	1	41915	0.0084364612897237	0.002539054552714	0.22833	7.03001	7.08674	39497	26045.0	26045.0	26045	0	0	25514.0	24835	1210	679	0.6577	0.6577	0.6456	0.6748	0.6689	0.669	20354	12509.0	12002.0	10585	1924	1417	11314.0	8853	3656	2461	0.6079	0.5882	0.5606	0.6379	0.6217	0.6018
6	wgd	1	72721	0.0008225798606872	0.0031131108601888	0.53957	7.0317	7.15737	8691	6070.0	6070.0	6070	0	0	6070.0	6070	0	0	0.6962	0.6962	0.6962	0.7053	0.6961	0.711	20354	12509.0	11230.0	8805	3704	2425	11380.0	9259	3250	2121	0.6079	0.5593	0.5653	0.6379	0.6038	0.6092
0	wgd	2	75	0.018083111445109	0.0011316855748494	0.01099	7.02978	7.0308	81337	50176.0	50143.0	49707	469	436	43660.0	31952	18224	11708	0.6088	0.6092	0.5366	0.6403	0.6402	0.5694	20354	12520.0	12517.0	12400	120	117	10930.0	7958	4562	2972	0.6074	0.608	0.5367	0.6381	0.6379	0.5725
1	wgd	2	547	0.0180481950441996	0.0011473298072814	0.0132	7.02905	7.03062	80865	49896.0	49901.0	49786	110	115	49021.0	46124	3772	2897	0.6085	0.6087	0.6006	0.6401	0.6401	0.6266	20354	12520.0	12526.0	12492	28	34	12276.0	11564	956	712	0.6074	0.6078	0.5979	0.6381	0.6381	0.6255
2	wgd	2	4808	0.0171398520469665	0.001428218682607	0.03404	7.02896	7.04353	76604	47386.0	47327.0	46651	735	676	46959.0	44734	2652	2225	0.6061	0.607	0.6017	0.6379	0.6377	0.6267	20354	12520.0	12525.0	12342	178	183	12375.0	11778	742	597	0.6074	0.6089	0.6008	0.6381	0.6378	0.6262
3	wgd	2	37510	0.0102290232976277	0.002900207042694	0.21366	7.02906	7.16037	43902	27672.0	24222.0	16949	10723	7273	26382.0	23246	4426	3136	0.5123	0.5374	0.5272	0.5626	0.5566	0.5567	20354	12520.0	11289.0	8555	3965	2734	12104.0	10941	1579	1163	0.6074	0.5616	0.5956	0.6381	0.5871	0.6287
0	wgd	3	126	0.0202877203623453	0.0012753923734029	0.01255	7.02973	7.029	81286	50175.0	50150.0	49968	207	182	46778.0	38754	11421	8024	0.6092	0.6087	0.5761	0.6403	0.6406	0.6062	20354	12524.0	12519.0	12471	53	48	11606.0	9613	2911	1993	0.6076	0.6072	0.5709	0.638	0.6385	0.601
1	wgd	3	1086	0.0202441573143005	0.0012994488080342	0.01359	7.02954	7.03167	80326	49596.0	49566.0	49342	254	224	46347.0	39641	9955	6706	0.6088	0.6085	0.5781	0.6399	0.64	0.6105	20354	12524.0	12537.0	12468	56	69	11622.0	9984	2540	1638	0.6076	0.6083	0.5724	0.638	0.6383	0.6076
2	wgd	3	10272	0.0180786728858947	0.0018240292867024	0.04644	7.02955	7.05639	71140	44314.0	44114.0	42860	1454	1254	42657.0	38474	5840	4183	0.6069	0.6077	0.5937	0.6386	0.6385	0.6231	20354	12524.0	12494.0	12166	358	328	12086.0	11059	1465	1027	0.6076	0.6085	0.5927	0.638	0.6379	0.6233
3	wgd	3	51697	0.0053546667098999	0.007090151309967	0.25523	7.02976	7.12223	29715	18811.0	16462.0	11437	7374	5025	18163.0	16249	2562	1914	0.5005	0.5348	0.5193	0.553	0.5504	0.5462	20354	12524.0	11174.0	8085	4439	3089	12076.0	10808	1716	1268	0.6076	0.5501	0.5943	0.638	0.5681	0.6226
