	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	lbfgs	1	9	0	0.0450632055600484	0.0007013837496439	0.00087	7.40319	7.4032	81403	47007.0	47001.0	47000	7	1	48224.0	45595	1412	2629	0.5452	0.5451	0.5641	0.6399	0.6399	0.6438	20354	11780.0	11780.0	11778	2	2	12062.0	11426	354	636	0.5477	0.5477	0.5653	0.6374	0.6374	0.643
1	lbfgs	1	9	1	0.0525771975517272	0.000666590531667	0.00081	7.40316	7.40306	81403	47005.0	47011.0	47003	2	8	48088.0	45813	1192	2275	0.5452	0.5452	0.5619	0.6399	0.6399	0.6439	20354	11780.0	11780.0	11780	0	0	12026.0	11481	299	545	0.5477	0.5477	0.563	0.6374	0.6374	0.6434
2	lbfgs	1	9	2	0.0510630408922831	0.0006345828374226	0.00103	7.41285	7.41279	81403	47008.0	46997.0	46997	11	0	45944.0	29591	17417	16353	0.5452	0.545	0.5643	0.6399	0.6399	0.588	20354	11780.0	11781.0	11779	1	2	11387.0	7378	4402	4009	0.5477	0.5477	0.5593	0.6374	0.6374	0.5827
3	lbfgs	1	82	0	0.049862778186798	0.0007263700167338	0.00241	7.40521	7.40513	81331	46963.0	46966.0	46956	7	10	49271.0	40761	6202	8510	0.5452	0.5452	0.588	0.6399	0.6399	0.6319	20354	11780.0	11781.0	11780	0	1	12323.0	10259	1521	2064	0.5477	0.5477	0.588	0.6374	0.6374	0.6306
4	lbfgs	1	82	1	0.05022581020991	0.0006340781847635	0.00354	7.40436	7.40482	81330	46974.0	46950.0	46931	43	19	49792.0	39931	7043	9861	0.5452	0.5448	0.5966	0.6399	0.6399	0.6337	20354	11780.0	11779.0	11772	8	7	12451.0	10033	1747	2418	0.5477	0.5476	0.5965	0.6374	0.6374	0.6333
5	lbfgs	1	82	2	0.0509544769922892	0.0006579756736755	0.00273	7.40371	7.40319	81330	46969.0	46961.0	46956	13	5	47389.0	45954	1015	1435	0.5452	0.5451	0.5519	0.6401	0.6401	0.6404	20354	11780.0	11779.0	11778	2	1	11868.0	11529	251	339	0.5477	0.5476	0.5533	0.6374	0.6374	0.6392
6	lbfgs	1	815	0	0.0519837220509847	0.0007544716199239	0.00779	7.40375	7.40313	80606	46543.0	46538.0	46521	22	17	49633.0	39309	7234	10324	0.5452	0.5451	0.601	0.6397	0.6398	0.6411	20354	11780.0	11783.0	11775	5	8	12505.0	9952	1828	2553	0.5477	0.5478	0.6	0.6374	0.6374	0.6406
7	lbfgs	1	815	1	0.0528546531995137	0.0007713913917541	0.00619	7.40341	7.40327	80601	46557.0	46556.0	46543	14	13	49443.0	40680	5877	8763	0.5454	0.5454	0.5958	0.64	0.64	0.6419	20354	11780.0	11782.0	11777	3	5	12482.0	10305	1475	2177	0.5477	0.5478	0.5961	0.6374	0.6374	0.6417
8	lbfgs	1	815	2	0.0549278140068054	0.0015067140261332	0.00805	7.40378	7.40403	80602	46544.0	46521.0	46505	39	16	49562.0	39004	7540	10558	0.5451	0.5447	0.6006	0.6399	0.6398	0.6408	20354	11780.0	11778.0	11772	8	6	12508.0	9898	1882	2610	0.5477	0.5475	0.6005	0.6374	0.6373	0.6396
9	lbfgs	1	4071	0	0.0483387192090352	0.0006716132164001	0.01837	7.40325	7.40393	77420	44773.0	44684.0	44576	197	108	47484.0	39402	5371	8082	0.5454	0.544	0.5947	0.6404	0.6404	0.6429	20354	11780.0	11746.0	11723	57	23	12463.0	10359	1421	2104	0.5477	0.5457	0.5947	0.6374	0.6373	0.6415
10	lbfgs	1	4071	1	0.0545079787572224	0.0010202248891194	0.02318	7.40356	7.40392	77437	44712.0	44652.0	44586	126	66	47580.0	37870	6842	9710	0.545	0.5441	0.5993	0.6389	0.639	0.6415	20354	11780.0	11765.0	11749	31	16	12512.0	9989	1791	2523	0.5477	0.5468	0.6001	0.6374	0.6374	0.6418
11	lbfgs	1	4071	2	0.0535537322362264	0.0009597341219584	0.02183	7.40329	7.39856	77449	44690.0	44781.0	44589	101	192	47458.0	39320	5370	8138	0.5452	0.5467	0.5948	0.6404	0.6404	0.6431	20354	11780.0	11790.0	11753	27	37	12488.0	10366	1414	2122	0.5477	0.5484	0.596	0.6374	0.6374	0.6424
12	lbfgs	1	8142	0	0.0429322520891825	0.000965670744578	0.02624	7.40328	7.41149	73659	42531.0	42520.0	42454	77	66	45128.0	37041	5490	8087	0.545	0.5448	0.5952	0.6395	0.6397	0.6417	20354	11780.0	11778.0	11761	19	17	12479.0	10279	1501	2200	0.5477	0.5475	0.5961	0.6374	0.6375	0.6413
13	lbfgs	1	8142	1	0.0380878925323486	0.000836177666982	0.02084	7.40324	7.39997	73678	42547.0	42601.0	42495	52	106	45094.0	37311	5236	7783	0.5455	0.5464	0.5942	0.6398	0.6399	0.6424	20354	11780.0	11788.0	11761	19	27	12473.0	10342	1438	2131	0.5477	0.5482	0.5953	0.6374	0.6374	0.642
14	lbfgs	1	8142	2	0.042471440633138	0.0008731404940287	0.03577	7.40321	7.39255	73639	42459.0	42595.0	42326	133	269	45011.0	37773	4686	7238	0.5451	0.5473	0.5925	0.6401	0.6403	0.6434	20354	11780.0	11805.0	11739	41	66	12433.0	10460	1320	1973	0.5477	0.5493	0.5923	0.6374	0.6376	0.6425
15	lbfgs	1	16283	0	0.0374448736508687	0.0011597832043965	0.02897	7.40309	7.39642	66679	38502.0	38490.0	38437	65	53	40357.0	35481	3021	4876	0.5452	0.545	0.5825	0.6405	0.6403	0.6429	20354	11780.0	11774.0	11760	20	14	12312.0	10844	936	1468	0.5477	0.5474	0.583	0.6374	0.6372	0.6418
16	lbfgs	1	16283	1	0.0363792220751444	0.001150906085968	0.03496	7.40314	7.399	66655	38424.0	38536.0	38335	89	201	40464.0	34962	3462	5502	0.5451	0.5471	0.5862	0.639	0.6389	0.641	20354	11780.0	11795.0	11746	34	49	12340.0	10686	1094	1654	0.5477	0.5487	0.5857	0.6374	0.6372	0.6416
17	lbfgs	1	16283	2	0.0361888170242309	0.0011439005533854	0.04137	7.40314	7.39783	66669	38395.0	38534.0	38286	109	248	40441.0	34839	3556	5602	0.5446	0.5471	0.586	0.639	0.6391	0.6412	20354	11780.0	11809.0	11745	35	64	12349.0	10665	1115	1684	0.5477	0.5495	0.5863	0.6374	0.6373	0.6417
0	lbfgs	2	9	0	0.1847967386245727	0.0008010586102803	0.63259	7.48145	7.48487	81403	48104.0	48103.0	48100	4	3	48330.0	47419	685	911	0.5634	0.5633	0.5671	0.6409	0.6409	0.6463	20354	12015.0	12013.0	12013	2	0	12084.0	11853	162	231	0.5638	0.5637	0.568	0.6386	0.6386	0.6465
1	lbfgs	2	9	1	0.7513564825057983	0.0006939133008321	0.64985	7.48149	7.48359	81403	48105.0	48595.0	46240	1865	2355	47865.0	47526	579	339	0.5633	0.5709	0.5595	0.6409	0.6422	0.6463	20354	12015.0	12141.0	11551	464	590	11962.0	11864	151	98	0.5638	0.5715	0.5603	0.6386	0.6395	0.6462
2	lbfgs	2	9	2	0.374674661954244	0.0009511311848958	0.58958	7.48147	7.44331	81403	48103.0	48460.0	46382	1721	2078	47860.0	47597	506	263	0.5634	0.5684	0.5596	0.6409	0.6424	0.6455	20354	12015.0	12134.0	11606	409	528	11960.0	11885	130	75	0.5638	0.5703	0.5604	0.6386	0.6402	0.6455
