num_prot	n	iter	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	2	0	0:original; 1:retrain; 2:unlearn	0.14052947759628295	0.0006076216697692872	1.21937	5.10078	5.10976	0.9982425789078158	2.0	210.0	208.0	0.647	0.648	0.6702	0.7626	0.7629	0.761
3	2	1	0:original; 1:retrain; 2:unlearn	0.137801194190979	0.0006081302960713705	1.25607	5.10078	5.11308	0.997594404937924	-8.0	210.0	218.0	0.647	0.6432	0.6702	0.7626	0.7624	0.761
3	2	2	0:original; 1:retrain; 2:unlearn	0.13930895328521728	0.0006145517031351726	1.54554	5.10078	5.11756	0.9967210936461908	4.0	210.0	206.0	0.647	0.6436	0.6702	0.7626	0.7625	0.761
3	12	0	0:original; 1:retrain; 2:unlearn	0.13424081802368165	0.0010650912920633952	1.53488	5.10574	5.12409	0.9964188763273089	1.0	118.0	117.0	0.647	0.6482	0.6562	0.7626	0.7629	0.7548
3	12	1	0:original; 1:retrain; 2:unlearn	0.13975207805633544	0.0008978645006815592	1.54611	5.10574	5.12175	0.9968741152926247	2.0	118.0	116.0	0.647	0.648	0.6562	0.7626	0.763	0.7548
3	12	2	0:original; 1:retrain; 2:unlearn	0.14197244246800741	0.0009206255276997884	1.2315	5.10574	5.11431	0.9983243096331667	4.0	118.0	114.0	0.647	0.6436	0.6562	0.7626	0.7625	0.7548
3	118	0	0:original; 1:retrain; 2:unlearn	0.13478776613871257	0.0011700948079427084	1.49815	5.1014	5.1235	0.9956865424026544	-8.0	130.0	138.0	0.647	0.6442	0.653	0.7626	0.7622	0.7396
3	118	1	0:original; 1:retrain; 2:unlearn	0.13247204621632894	0.001255639394124349	1.49495	5.1014	5.12338	0.995709863410483	-7.0	130.0	137.0	0.647	0.643	0.653	0.7626	0.7624	0.7396
3	118	2	0:original; 1:retrain; 2:unlearn	0.14235027233759562	0.0012337962786356609	0.71471	5.1014	5.10284	0.9997178042031497	4.0	130.0	126.0	0.647	0.6471	0.653	0.7626	0.7628	0.7396
3	586	0	0:original; 1:retrain; 2:unlearn	0.14193828503290812	0.0013326168060302734	1.218	5.10026	5.10235	0.9995903848226796	7.0	90.0	83.0	0.647	0.6479	0.6579	0.7626	0.7621	0.7581
3	586	1	0:original; 1:retrain; 2:unlearn	0.14900141557057697	0.0019481221834818522	0.72723	5.10026	5.09909	1.000229452706267	-6.0	90.0	96.0	0.647	0.6428	0.6579	0.7626	0.7617	0.7581
3	586	2	0:original; 1:retrain; 2:unlearn	0.14487537145614623	0.0014341155687967936	0.10457	5.10026	5.09645	1.0007475791972844	-8.0	90.0	98.0	0.647	0.6437	0.6579	0.7626	0.7616	0.7581
3	1171	0	0:original; 1:retrain; 2:unlearn	0.12854485511779784	0.0014048377672831217	1.57055	5.10242	5.11156	0.9982118961725971	3.0	99.0	96.0	0.647	0.6448	0.6559	0.7626	0.7625	0.7663
3	1171	1	0:original; 1:retrain; 2:unlearn	0.13498059511184693	0.0014369448026021322	0.08396	5.10242	5.09326	1.0017984552133605	11.0	99.0	88.0	0.647	0.6485	0.6559	0.7626	0.763	0.7663
3	1171	2	0:original; 1:retrain; 2:unlearn	0.1302129904429118	0.001440103848775228	1.58264	5.10242	5.11223	0.9980810722522265	-1.0	99.0	100.0	0.647	0.6432	0.6559	0.7626	0.7625	0.7663
3	2342	0	0:original; 1:retrain; 2:unlearn	0.11669608751932779	0.0015122572580973308	0.74211	5.10019	5.09292	1.0014274718628997	19.0	91.0	72.0	0.647	0.6477	0.6622	0.7626	0.7619	0.7623
3	2342	1	0:original; 1:retrain; 2:unlearn	0.11722906827926635	0.0014442125956217447	1.5148	5.10019	5.10657	0.9987506290915429	16.0	91.0	75.0	0.647	0.6514	0.6622	0.7626	0.7624	0.7623
3	2342	2	0:original; 1:retrain; 2:unlearn	0.11512671311696371	0.0015598893165588378	1.22716	5.10019	5.09719	1.000588559578905	17.0	91.0	74.0	0.647	0.6492	0.6622	0.7626	0.7619	0.7623
