	solver_type	prot_per_class	num_unlearned_samples	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	wgd	1	9	0.0012608170509338	0.0004511912663777	0.00124	4.89503	4.89465	11699	7101.0	7102.0	7101	0	1	6231.0	5383	1718	848	0.6614	0.6615	0.5843	0.7408	0.7407	0.6229	2927	1756.0	1755.0	1755	1	0	1534.0	1319	437	215	0.6636	0.6629	0.5824	0.7445	0.7444	0.6282
1	wgd	1	43	0.0013397336006164	0.0006770332654317	0.00376	4.89196	4.89195	11665	7082.0	7082.0	7082	0	0	6783.0	6400	682	383	0.6621	0.6621	0.6471	0.7416	0.7416	0.7162	2927	1756.0	1756.0	1756	0	0	1666.0	1578	178	88	0.6636	0.6636	0.648	0.7445	0.7444	0.7182
2	wgd	1	418	0.0018865426381429	0.000455633799235	0.03339	4.89145	4.8909	11290	6906.0	6906.0	6906	0	0	6628.0	6484	422	144	0.6678	0.6678	0.6514	0.7469	0.7467	0.7214	2927	1756.0	1752.0	1750	6	2	1667.0	1623	133	44	0.6636	0.6627	0.6462	0.7445	0.7442	0.7219
3	wgd	1	2398	0.0015111883481343	0.0009522199630737	0.21837	4.89096	4.86119	9310	6027.0	6027.0	6027	0	0	5812.0	5758	269	54	0.7007	0.7007	0.6907	0.7772	0.7744	0.7581	2927	1756.0	1739.0	1728	28	11	1627.0	1557	199	70	0.6636	0.6633	0.6493	0.7445	0.7416	0.725
4	wgd	1	4650	0.0008346716562906	0.0005753676096598	0.52737	4.8913	4.86306	7058	4984.0	4984.0	4984	0	0	4933.0	4914	70	19	0.7519	0.7519	0.7505	0.8158	0.8119	0.794	2927	1756.0	1661.0	1632	124	29	1571.0	1504	252	67	0.6636	0.6559	0.6433	0.7445	0.7373	0.7168
0	wgd	2	6	0.0015528559684753	0.0004878282546997	0.00741	4.88477	4.88577	11702	7188.0	7179.0	7174	14	5	7620.0	6019	1169	1601	0.6594	0.6591	0.6263	0.7432	0.7434	0.6875	2927	1778.0	1781.0	1776	2	5	1913.0	1474	304	439	0.6605	0.6622	0.62	0.7469	0.7472	0.6928
1	wgd	2	84	0.0019436001777648	0.0008822321891784	0.04788	4.88241	4.88598	11624	7156.0	7135.0	7112	44	23	6214.0	5587	1569	627	0.6597	0.661	0.5687	0.743	0.7428	0.6119	2927	1778.0	1772.0	1768	10	4	1562.0	1390	388	172	0.6605	0.6612	0.5766	0.7469	0.7467	0.6177
2	wgd	2	841	0.00191197792689	0.0011829614639282	0.10115	4.88326	4.9275	10867	6814.0	6653.0	6537	277	116	6027.0	5591	1223	436	0.6599	0.6651	0.6135	0.7441	0.7409	0.6568	2927	1778.0	1724.0	1698	80	26	1586.0	1467	311	119	0.6605	0.6615	0.6181	0.7469	0.7434	0.66
3	wgd	2	5748	0.0010961929957071	0.0013587355613708	0.89863	4.88007	5.445	5960	4708.0	3687.0	3279	1429	408	3882.0	3573	1135	309	0.5452	0.6633	0.6289	0.7367	0.7173	0.7223	2927	1778.0	1437.0	1311	467	126	1536.0	1453	325	83	0.6605	0.6444	0.6415	0.7469	0.6238	0.6974
4	wgd	2	9369	0.0004612644513448	0.0015026728312174	2.10628	4.88245	6.08278	2339	2336.0	2333.0	2330	6	3	2333.0	2330	6	3	0.5	0.9987	0.9987	0.9984	0.9997	0.9986	2927	1778.0	1391.0	1246	532	145	1522.0	1428	350	94	0.6605	0.6401	0.6439	0.7469	0.6144	0.7002
0	wgd	3	26	0.0021833380063374	0.0012920061747233	0.0447	4.88376	4.88615	11682	7208.0	7203.0	7195	13	8	6943.0	6381	827	562	0.6612	0.6613	0.6431	0.7438	0.7439	0.72	2927	1785.0	1781.0	1781	4	0	1716.0	1569	216	147	0.6616	0.6607	0.6441	0.747	0.7471	0.7257
1	wgd	3	283	0.0021226088205973	0.0013538837432861	0.03136	4.88178	4.90231	11425	7079.0	7022.0	6989	90	33	6675.0	6303	776	372	0.6607	0.6608	0.6342	0.7441	0.7431	0.6959	2927	1785.0	1768.0	1758	27	10	1689.0	1582	203	107	0.6616	0.6628	0.6386	0.747	0.746	0.6996
2	wgd	3	2570	0.0021571119626363	0.0018081784248352	0.31137	4.87962	5.10382	9138	5978.0	5384.0	5151	827	233	5493.0	5273	705	220	0.6399	0.6462	0.6412	0.7358	0.7145	0.7137	2927	1785.0	1611.0	1556	229	55	1643.0	1573	212	70	0.6616	0.6487	0.6418	0.747	0.7103	0.7043
3	wgd	3	7029	0.0010844270388285	0.0018361051877339	1.11148	4.8788	5.45108	4679	4155.0	3080.0	2665	1490	415	3554.0	3316	839	238	0.5	0.7167	0.6261	0.7886	0.7735	0.7732	2927	1785.0	1379.0	1238	547	141	1581.0	1513	272	68	0.6616	0.641	0.6395	0.747	0.6121	0.7021
