	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	lbfgs	1	2	0	0.010516862074534	0.0002991000811258	2250.37003	8357.38325	10607.75151	11706	8707.0	8707.0	8707	0	0	8707.0	8707	0	0	0.5	0.5	0.5	0.7296	0.6162	0.7102	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.6191	0.7164
1	lbfgs	1	2	1	0.0119742433230082	0.0004940827687581	2211.4777	8357.3834	10568.85936	11706	8707.0	8707.0	8707	0	0	8707.0	8707	0	0	0.5	0.5	0.5	0.7295	0.6083	0.71	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.6105	0.7164
2	lbfgs	1	2	2	0.0101834535598754	0.0002882838249206	106.07722	8357.53723	8463.60664	11706	8706.0	8706.0	8706	0	0	8710.0	8706	0	4	0.5	0.5	0.5007	0.7296	0.7243	0.4837	2927	2237.0	2237.0	2237	0	0	2238.0	2237	0	1	0.5	0.5	0.5007	0.729	0.7203	0.4826
3	lbfgs	1	12	0	0.0125171144803365	0.0004040996233622	810.68966	8357.38343	7546.69427	11696	8702.0	8702.0	8702	0	0	8702.0	8702	0	0	0.5	0.5	0.5	0.7297	0.7118	0.71	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.711	0.7164
4	lbfgs	1	12	1	0.0093859632809956	0.0004112402598063	552.7098	8357.38344	7804.67421	11696	8699.0	8699.0	8699	0	0	8699.0	8699	0	0	0.5	0.5	0.5	0.7297	0.7235	0.7102	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7205	0.7165
5	lbfgs	1	12	2	0.0095441977183024	0.0004120230674743	1064.07816	8357.38347	9421.46055	11696	8698.0	8698.0	8698	0	0	8698.0	8698	0	0	0.5	0.5	0.5	0.7296	0.6973	0.71	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7	0.7164
6	lbfgs	1	118	0	0.0092549204826354	0.0004367272059122	552.13555	8357.38347	7805.24825	11591	8632.0	8632.0	8632	0	0	8632.0	8632	0	0	0.5	0.5	0.5	0.7308	0.7233	0.7111	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7205	0.7164
7	lbfgs	1	118	1	0.0089294989903767	0.0004638234774271	167.30043	8357.38346	8501.89315	11590	8628.0	8628.0	8628	0	0	8628.0	8628	0	0	0.5	0.5	0.5	0.7294	0.6095	0.7105	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.6086	0.7165
8	lbfgs	1	118	2	0.012779680887858	0.0004195094108581	900.08324	8357.38345	9257.46537	11590	8621.0	8621.0	8621	0	0	8621.0	8621	0	0	0.5	0.5	0.5	0.73	0.6954	0.7102	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.6962	0.7165
9	lbfgs	1	586	0	0.008667500813802	0.0005445122718811	3764.30388	8357.38345	4593.08382	11137	8289.0	8289.0	8289	0	0	8289.0	8289	0	0	0.5	0.5	0.5	0.7308	0.7066	0.7111	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7036	0.7168
10	lbfgs	1	586	1	0.0082123160362243	0.0004606127738952	1383.68374	8357.38346	6973.70067	11135	8272.0	8272.0	8272	0	0	8272.0	8272	0	0	0.5	0.5	0.5	0.732	0.7246	0.7119	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7212	0.7168
11	lbfgs	1	586	2	0.008120326201121	0.000451656182607	2473.04346	8357.38345	5884.34223	11144	8282.0	8282.0	8282	0	0	8282.0	8282	0	0	0.5	0.5	0.5	0.7282	0.7136	0.7091	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7115	0.7168
12	lbfgs	1	1171	0	0.0089258591334025	0.0004800597826639	209.53387	8357.38346	8158.29471	10595	7881.0	7881.0	7881	0	0	7881.0	7881	0	0	0.5	0.5	0.5	0.728	0.7137	0.7084	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7144	0.7172
13	lbfgs	1	1171	1	0.0078021208445231	0.0005252599716186	1516.90088	8357.38346	6840.48367	10610	7883.0	7883.0	7883	0	0	7883.0	7883	0	0	0.5	0.5	0.5	0.7327	0.702	0.7124	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7013	0.7171
14	lbfgs	1	1171	2	0.0102907101313273	0.0005444725354512	573.77184	8357.38346	7798.26327	10600	7871.0	7871.0	7871	0	0	7871.0	7871	0	0	0.5	0.5	0.5	0.7292	0.7078	0.7104	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7087	0.7171
15	lbfgs	1	2342	0	0.0108530322710673	0.0005318403244018	3705.31102	8357.38347	4652.07618	9594	7108.0	7108.0	7108	0	0	7108.0	7108	0	0	0.5	0.5	0.5	0.7307	0.7259	0.7134	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7248	0.718
16	lbfgs	1	2342	1	0.0094507972399393	0.0004976511001586	3157.75973	8357.38347	5199.627	9587	7135.0	7135.0	7135	0	0	7135.0	7135	0	0	0.5	0.5	0.5	0.7331	0.7204	0.7146	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7181	0.718
17	lbfgs	1	2342	2	0.0076093037923177	0.0005199114481608	3689.75235	8357.38347	4667.63564	9570	7119.0	7119.0	7119	0	0	7119.0	7119	0	0	0.5	0.5	0.5	0.7323	0.7166	0.715	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.729	0.7116	0.7179
0	lbfgs	2	2	0	0.0131577134132385	0.000365408261617	1680.98631	5350.3389	6087.30095	11706	8707.0	8707.0	8707	0	0	8707.0	8707	0	0	0.5	0.5	0.5	0.7248	0.7229	0.734	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.7156	0.7128	0.734
1	lbfgs	2	2	1	0.0124090075492858	0.000345245997111	1128.88127	5350.33893	5939.13769	11706	8707.0	8707.0	8707	0	0	8707.0	8707	0	0	0.5	0.5	0.5	0.7247	0.7041	0.7339	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.7156	0.6945	0.734
2	lbfgs	2	2	2	0.0130434115727742	0.0003557562828063	1265.92274	5350.33885	4577.53113	11706	8707.0	8707.0	8707	0	0	8707.0	8707	0	0	0.5	0.5	0.5	0.7247	0.7248	0.734	2927	2237.0	2237.0	2237	0	0	2237.0	2237	0	0	0.5	0.5	0.5	0.7156	0.7188	0.7341
3	lbfgs	2	12	0	0.0116621812184651	0.0005122224489847	1515.53234	5350.39789	4320.18283	11696	8697.0	8697.0	8697	0	0	8309.0	8011	686	298	0.5	0.5	0.5102	0.7246	0.72	0.5784	2927	2237.0	2237.0	2237	0	0	2150.0	2070	167	80	0.5	0.5	0.5206	0.7156	0.7117	0.5895
